"s"
"Year","GDP-US $ billion nominal","Population-US million","Pensions-fed $ billion nominal","","Total Spending-state $ billion nominal","","Pensions-local $ billion nominal",""
"1845","1.842","19.897","0.00","","0.00","","0.00",""
"1846","2.045","20.516","0.00","","0.00","","0.00",""
"1847","2.387","21.154","0.00","","0.00","","0.00",""
"1848","2.404","21.813","0.00","","0.00","","0.00",""
"1849","2.395","22.492","0.00","","0.00","","0.00",""
"1850","2.556","23.192","0.00","","0.00","","0.00",""
"1851","2.698","23.909","0.00","","0.00","","0.00",""
"1852","3.037","24.648","0.00","","0.00","","0.00",""
"1853","3.279","25.409","0.00","","0.00","","0.00",""
"1854","3.677","26.195","0.00","","0.00","","0.00",""
"1855","3.937","27.004","0.00","","0.00","","0.00",""
"1856","4.009","27.839","0.00","","0.00","","0.00",""
"1857","4.14","28.699","0.00","","0.00","","0.00",""
"1858","4.054","29.586","0.00","","0.00","","0.00",""
"1859","4.383","30.501","0.00","","0.00","","0.00",""
"1860","4.345","31.443","0.00","","0.00","","0.00",""
"1861","4.599","32.091","0.00","","0.00","","0.00",""
"1862","5.788","32.753","0.00","","0.00","","0.00",""
"1863","7.625","33.428","0.00","","0.00","","0.00",""
"1864","9.457","34.117","0.00","","0.00","","0.00",""
"1865","9.881","34.820","0.00","","0.00","","0.00",""
"1866","8.995","35.537","0.00","","0.00","","0.00",""
"1867","8.344","36.270","0.00","","0.00","","0.00",""
"1868","8.146","37.017","0.00","","0.00","","0.00",""
"1869","7.845","37.780","0.00","","0.00","","0.00",""
"1870","7.737","38.558","0.00","","0.00","","0.00",""
"1871","7.592","39.588","0.00","","0.00","","0.00",""
"1872","8.23","40.646","0.00","","0.00","","0.00",""
"1873","8.753","41.732","0.00","","0.00","","0.00",""
"1874","8.482","42.847","0.00","","0.00","","0.00",""
"1875","8.16","43.991","0.00","","0.00","","0.00",""
"1876","8.308","45.166","0.00","","0.00","","0.00",""
"1877","8.521","46.373","0.00","","0.00","","0.00",""
"1878","8.379","47.612","0.00","","0.00","","0.00",""
"1879","9.359","48.883","0.00","","0.00","","0.00",""
"1880","10.362","50.189","0.00","","0.00","","0.00",""
"1881","11.628","51.342","0.00","","0.00","","0.00",""
"1882","12.214","52.521","0.00","","0.00","","0.00",""
"1883","12.316","53.726","0.00","","0.00","","0.00",""
"1884","11.782","54.960","0.00","","0.00","","0.00",""
"1885","11.593","56.222","0.00","","0.00","","0.00",""
"1886","12.18","57.513","0.00","","0.00","","0.00",""
"1887","13.146","58.833","0.00","","0.00","","0.00",""
"1888","13.866","60.184","0.00","","0.00","","0.00",""
"1889","13.853","61.566","0.00","","0.00","","0.00",""
"1890","15.077","62.980","0.00","","0.07","a","0.00",""
"1891","15.409","64.192","0.00","","0.08","i","0.00",""
"1892","16.356","65.428","0.00","","0.08","i","0.00",""
"1893","15.417","66.688","0.00","","0.08","i","0.00",""
"1894","14.143","67.972","0.00","","0.09","i","0.00",""
"1895","15.603","69.281","0.00","","0.09","i","0.00",""
"1896","15.493","70.615","0.00","","0.10","i","0.00",""
"1897","16.153","71.974","0.00","","0.10","i","0.00",""
"1898","18.088","73.360","0.00","","0.11","i","0.00",""
"1899","19.506","74.773","0.00","","0.12","i","0.00",""
"1900","20.567","76.212","0.00","","0.12","i","0.00",""
"1901","22.269","77.680","0.00","","0.13","i","0.00",""
"1902","24.062","79.176","0.00","a","0.14","a","0.00",""
"1903","25.93","80.701","0.00","i","0.15","i","0.00",""
"1904","25.681","82.255","0.00","i","0.16","i","0.00",""
"1905","28.788","83.839","0.00","i","0.17","i","0.00",""
"1906","31.037","85.453","0.00","i","0.18","i","0.00",""
"1907","33.851","87.099","0.00","i","0.19","i","0.00",""
"1908","30.133","88.776","0.00","i","0.21","i","0.00",""
"1909","32.229","90.486","0.00","i","0.22","i","0.00",""
"1910","33.423","92.229","0.00","i","0.24","i","0.00",""
"1911","34.343","93.523","0.00","i","0.26","i","0.00",""
"1912","37.384","94.836","0.00","i","0.28","i","0.00",""
"1913","39.14","96.167","0.00","a","0.30","a","0.01","a"
"1914","36.479","97.516","0.00","i","0.34","i","0.01","i"
"1915","38.675","98.885","0.00","i","0.40","i","0.01","i"
"1916","49.638","100.273","0.00","i","0.46","i","0.01","i"
"1917","59.702","101.680","0.00","i","0.53","i","0.01","i"
"1918","75.835","103.107","0.00","i","0.61","i","0.01","i"
"1919","78.333","104.554","0.00","i","0.70","i","0.02","i"
"1920","88.393","106.022","0.00","i","0.81","i","0.02","i"
"1921","73.603","107.626","0.00","i","0.94","i","0.02","i"
"1922","73.432","109.254","0.01","a","1.09","a","0.02","a"
"1923","85.414","110.908","0.01","i","1.15","i","0.02","i"
"1924","86.947","112.586","0.01","i","1.22","i","0.03","i"
"1925","90.575","114.290","0.01","i","1.29","i","0.03","i"
"1926","96.949","116.019","0.01","i","1.37","i","0.03","i"
"1927","95.544","117.775","0.01","a","1.45","a","0.04","a"
"1928","97.365","119.557","0.02","i","1.55","i","0.04","i"
"1929","103.6","121.366","0.02","i","1.66","i","0.05","i"
"1930","91.2","123.203","0.02","i","1.77","i","0.05","i"
"1931","76.5","124.071","0.02","i","1.90","i","0.05","i"
"1932","58.7","124.945","0.03","a","2.03","a","0.06","a"
"1933","56.4","125.825","0.03","i","2.09","i","0.06","i"
"1934","66","126.712","0.04","a","2.14","a","0.07","a"
"1935","73.3","127.605","0.04","i","2.29","i","0.07","i"
"1936","83.8","128.504","0.04","a","2.45","a","0.08","a"
"1937","91.9","129.410","0.06","i","2.76","i","0.08","i"
"1938","86.1","130.321","0.07","a","3.08","a","0.08","a"
"1939","92.2","131.240","0.08","i","3.32","i","0.08","i"
"1940","101.4","132.165","0.09","a","3.56","a","0.08","a"
"1941","126.7","133.966","0.14","i","3.56","i","0.09","i"
"1942","161.9","135.792","0.19","a","3.56","a","0.10","a"
"1943","198.6","137.643","0.24","i","3.44","i","0.11","i"
"1944","219.8","139.519","0.29","a","3.32","a","0.12","a"
"1945","223","141.421","0.44","i","4.15","i","0.14","i"
"1946","222.2","143.349","0.59","a","4.97","a","0.15","a"
"1947","244.1","145.303","0.67","i","6.44","i","0.16","i"
"1948","269.1","147.283","0.76","a","7.90","a","0.17","a"
"1949","267.2","149.291","0.88","i","9.38","i","0.19","i"
"1950","293.7","151.326","0.99","a","10.86","a","0.20","a"
"1951","339.3","153.917","1.77","a","10.83","i","0.00","i"
"1952","358.3","156.552","2.28","a","10.79","a","0.28","a"
"1953","379.3","159.232","3.09","a","11.47","a","0.29","a"
"1954","380.4","161.958","3.69","a","13.01","a","0.32","a"
"1955","414.7","164.731","4.76","a","14.37","a","0.35","a"
"1956","437.4","167.551","5.87","a","15.15","a","0.39","a"
"1957","461.1","170.420","7.11","a","16.80","a","0.43","a"
"1958","467.2","173.337","8.74","a","19.99","a","0.49","a"
"1959","506.6","176.305","10.18","a","22.44","a","0.52","a"
"1960","526.4","179.323","11.69","a","22.15","a","0.57","a"
"1961","544.8","181.588","12.85","a","24.58","a","0.59","a"
"1962","585.7","183.881","11.06","a","25.50","a","0.65","a"
"1963","617.8","186.204","12.60","a","27.70","a","0.67","a"
"1964","663.6","188.555","13.48","a","29.62","a","0.72","a"
"1965","719.1","190.937","14.47","a","31.47","a","0.77","a"
"1966","787.7","193.348","17.73","a","34.20","a","0.82","a"
"1967","832.4","195.790","18.87","a","39.70","a","1.00","a"
"1968","909.8","198.263","21.06","a","44.30","a","1.02","a"
"1969","984.4","200.766","24.52","a","49.45","a","1.13","a"
"1970","1038.3","203.302","27.37","a","56.16","a","1.25","a"
"1971","1126.8","205.515","33.40","a","66.20","a","1.43","a"
"1972","1237.9","207.752","38.54","a","72.48","a","1.61","a"
"1973","1382.3","210.013","48.54","a","78.01","a","1.80","a"
"1974","1499.5","212.299","56.65","a","86.19","a","1.98","a"
"1975","1637.7","214.609","66.72","a","104.19","a","2.28","a"
"1976","1824.6","216.945","77.66","a","124.11","a","2.43","a"
"1977","2030.1","219.307","90.29","a","128.78","a","2.66","a"
"1978","2293.8","221.694","100.25","a","136.55","a","2.99","a"
"1979","2562.2","224.107","112.54","a","148.69","a","3.39","a"
"1980","2788.1","226.546","129.32","a","173.31","a","3.77","a"
"1981","3126.8","228.670","152.98","a","198.35","a","4.29","a"
"1982","3253.2","230.815","170.46","a","211.55","a","4.73","a"
"1983","3534.6","232.979","183.77","a","233.13","a","5.06","a"
"1984","3930.9","235.164","191.04","a","243.16","a","5.82","a"
"1985","4217.5","237.369","200.09","a","269.26","a","6.19","a"
"1986","4460.1","239.595","211.86","a","292.25","a","6.65","a"
"1987","4736.4","241.842","220.58","a","314.27","a","7.44","a"
"1988","5100.4","244.110","232.84","a","333.34","a","7.95","a"
"1989","5482.1","246.399","247.46","a","360.00","i","8.38","i"
"1990","5800.5","248.710","267.05","a","397.29","a","8.81","a"
"1991","5992.1","251.802","288.96","a","442.30","a","9.86","a"
"1992","6342.3","254.933","308.45","a","499.10","a","10.73","a"
"1993","6667.4","258.103","330.08","a","529.17","a","11.62","a"
"1994","7085.2","261.312","347.34","a","550.28","a","12.62","a"
"1995","7414.7","264.561","367.34","a","596.33","a","13.48","a"
"1996","7838.5","267.850","384.21","a","607.59","a","14.93","a"
"1997","8332.4","271.180","402.53","a","629.05","a","15.51","a"
"1998","8793.5","274.552","417.83","a","651.10","a","17.22","a"
"1999","9353.5","277.966","429.59","a","693.43","a","17.96","a"
"2000","9951.5","282.172","448.72","a","757.03","a","19.71","a"
"2001","10286.2","285.082","475.14","a","834.39","a","20.97","i"
"2002","10642.3","287.804","496.97","a","918.01","a","22.24","a"
"2003","11142.2","290.326","510.48","a","976.85","a","24.20","i"
"2004","11853.3","293.046","530.85","a","1016.41","a","26.16","a"
"2005","12623","295.507","557.74","a","1066.62","a","27.46","a"
"2006","13377.2","298.109","585.99","a","1122.27","a","28.69","a"
"2007","14028.7","300.733","628.29","a","1174.62","a","31.21","a"
"2008","14369.1","303.380","659.85","a","1259.65","a","33.42","a"
"2009","13939","306.051","730.43","a","1340.64","a","36.12","a"
"2010","14508.2","308.746","749.57","a","1457.94","a","38.13","a"
"2011","14958.6","311.592","775.58","a","1505.21","a","41.26","e"
"2012","15547.4","314.123","811.74","a","1506.88","g","42.95","g"
"2013","16202.7","316.847","866.33","b","1508.86","g","43.45","g"
"2014","17011.4","319.594","921.23","b","1516.57","g","43.28","g"
"2015","17936.1","322.366","976.52","b","1544.08","g","43.05","g"
"2016","18934.2","325.010","1032.56","b","1599.97","g","43.29","g"
"2017","19980","327.676","1088.23","b","1686.34","g","44.36","g"
"2018","21024.8","330.363","1144.30","b","1798.71","g","46.38","g"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY14 budget"
